54,24,21/Jan/20,Jorginho,Chelsea,Chelseavs Arsenal,28' minute,Scored,2-2
55,24,22/Jan/20,Mark Noble,West Ham,Leicester vsWest Ham,50' minute,Scored,4-1
56,24,22/Jan/20,Teemu Pukki,Norwich,Tottenham vsNorwich,70' minute,Scored,2-1
57,24,22/Jan/20,Ayoze PÃ©rez,Leicester,Leicestervs West Ham,81' minute,Scored,4-1
58,24,29/Jan/20,Mohamed Salah,Liverpool,West Ham vsLiverpool,35' minute,Scored,0-2
59,25,02/Feb/20,Ilkay GÃ¼ndogan,Man City,Tottenham vsMan City,40' minute,Missed,2-0
60,26,16/Feb/20,Son Heung-Min,Tottenham,Aston Villa vsTottenham,45'+2' minute,Missed,2-3
61,27,22/Feb/20,Jay Rodriguez,Burnley,Burnleyvs Bournemouth,61' minute,Scored,3-0
62,27,22/Feb/20,Sergio AgÃ¼ero,Man City,Leicester vsMan City,62' minute,Missed,0-1
63,27,23/Feb/20,Bruno Fernandes,Man United,Man Unitedvs Watford,42' minute,Scored,3-0
64,29,07/Mar/20,Matt Ritchie,Newcastle,Southampton vsNewcastle,45' minute,Missed,0-1
65,29,07/Mar/20,Dele Alli,Tottenham,Burnley vsTottenham,50' minute,Scored,1-1
66,29,28/Mar/20,Jamie Vardy,Leicester,Leicestervs Aston Villa,63' minute,Scored,4-0
67,30,17/June/20,Kevin De Bruyne,Man City,Man Cityvs Arsenal,51' minute,Scored,3-0
68,30,19/June/20,Bruno Fernandes,Man United,Tottenham vsMan United,81' minute,Scored,1-1
